"CodEstadoIBGE","NomeEstado","SiglaEstado","Regiao"
11,Rondonia,RO,Norte
12,Acre,AC,Norte
13,Amazonas,AM,Norte
14,Roraima,RO,Norte
15,Para,PA,Norte
16,Amapa,AP,Norte
17,Tocantins,TO,Norte
21,Maranhao,MA,Nordeste
22,Piaui,PI,Nordeste
23,Ceara,CE,Nordeste
24,Rio Grande do Norte,RN,Nordeste
25,Paraíba,PB,Nordeste
26,Pernambuco,PE,Nordeste
27,Alagoas,AL,Nordeste
28,Sergipe,SE,Nordeste
29,Bahia,BA,Nordeste
31,Minas Gerais,MG,Sudeste
32,Espírito Santo,MG,Sudeste
33,Rio de Janeiro,RJ,Sudeste
35,São Paulo,SP,Sudeste
41,Parana,PR,Sudeste
42,Santa Catarina,SC,Sul
43,Rio Grande do Sul,RS,Sul
50,Mato Grosso do Sul,MS,Centro-Oeste
51,Mato Grosso,MT,Centro-Oeste
52,Goiás,GO,Centro-Oeste
53,Distrito Federal,DF,Centro-Oeste
